출원번호,발명의 명칭,출원일자,CPC,독립항 수,종속항 수
1020230016152,병풀 정량 추출물을 포함하는 자외선 차단용 화장료 조성물,20230207,A61K 8/9789,7,0
1020230015464,배터리 내부 온도 추정을 위한 배터리 관리 장치 및 방법,20230206,H02J 7/00,5,9
1020230015024,이중 편파 레이다를 이용한 표적 탐지 방법 및 시스템,20230203,G01S 7/02,6,3
1020230015023,이중 편파 레이다를 이용한 인공물 탐지 방법 및 시스템,20230203,G01S 7/02,7,5
1020230015022,주파수 가변 및 추정된 분면의 신호 비교를 이용한 3채널 모노펄스 배열 안테나의 부엽 식별 방법 및 장치,20230203,G01S 7/28,3,8
1020230014165,배터리 팩,20230202,H01M 50/533,4,9
1020230013912,로컬 디밍을 위한 LED 구동 장치 및 디스플레이 장치,20230201,G09G 3/34,19,0
1020230013010,수전해 발생열을 이용한 온도차 발전 시스템,20230131,F01K 25/10,4,13
1020230013009,태양광 수집열을 이용한 온도차 발전 시스템,20230131,F03G 6/00,7,12
1020230012074,에어로졸 생성 장치,20230130,A24F 40/50,2,10
1020230011112,핫 스탬핑 부품,20230127,C23C 2/12,6,3
1020230009020,유기 발광 소자,20230120,H10K 85/60,1,19
1020230006930,"프레임간 유사도에 기초하여, 신경망 학습을 위한 프레임 데이터를 생성하는 방법 및 장치",20230117,G06V 10/82,4,6
1020230006923,영상 처리 장치 및 영상 처리 방법,20230117,G06T 7/11,1,6
1020230006382,휴대용 초음파 진단 장치 및 그 제어방법,20230116,A61B 8/00,4,13
1020230004923,재밍효과도 분석 방법 및 시스템,20230112,G01S 13/90,3,9
1020230003945,방전봉 및 그의 제조방법,20230111,B03C 3/38,5,5
1020230003044,유기 발광 소자,20230109,H10K 99/00,1,18
1020230002505,포커스 촬영을 위한 원형 프레임을 제공하는 스마트폰용 카메라 렌즈 커버,20230106,G03B 17/56,2,3
1020230001918,합성개구면레이다를 모의하는 시스템 및 방법,20230105,G01S 13/90,4,11
1020230001944,적외선 영상에 관한 블러 커널 생성 방법 및 장치,20230105,G06T 5/20,3,4
1020230001179,색온도를 이용한 이벤트 검출 방법 및 장치,20230104,G08B 13/196,3,3
1020230000765,3D 모델링 배포 방법 및 컴퓨터 프로그램,20230103,G06Q 50/10,5,1
1020230000372,보트 장치,20230102,H01L 31/18,2,8
1020220187948,배터리모듈의 진단방법 및 그 장치,20221228,G01R 31/385,3,9
1020220187971,반도체 기판을 검사하는 방법 및 이를 이용하여 반도체 소자를 제조 하는 방법,20221228,H01L 21/66,3,6
1020220184986,서로 다른 운전 특성의 수전해 설비들을 갖는 수소생산시스템 및 이의 동작 방법,20221226,G06Q 50/06,15,0
1020220185024,플라즈마 식각 장치를 이용한 반도체 소자의 제조 방법,20221226,H01L 21/68,3,7
1020220182191,회로 기판용 보호 코팅 조성물,20221222,C09D 161/02,4,8
1020220181510,성형 장치를 운용하기 위한 성형 방법,20221222,B29C 44/02,10,0
1020220180693,에어로졸 생성 장치,20221221,A24F 40/40,2,3
1020220179791,"분무 살포가 가능한 식물의 에틸렌 작용 억제제로서 1-(2,2-디메틸프로필)-사이클로프로펜의 제법 및 이의 용도",20221220,C07C 2/02,16,0
1020220175838,배터리 관리 시스템 및 배터리 관리 방법,20221215,H01M 10/42,3,17
1020220173046,"표지 물질을 저장하는 패치, 이를 이용하는 조직 진단 방법 및 장치",20221212,G01N 21/64,4,20
1020220172945,축합환 화합물 및 이를 포함한 유기 발광 소자,20221212,C07D 221/18,5,7
1020220173065,표시 장치,20221212,H10K 59/00,2,11
1020220171965,음식물 분리 수거함 세척 장치,20221209,B65F 7/00,2,4
1020220170036,SAR 영상의 표적들 간의 유사도 산출 방법 및 이를 이용한 표적 식별 방법,20221207,G01S 13/90,3,9
1020220170056,"선조립 철골 구조물의 미세위치 조정장치, 이를 포함하는 물품 및 선조립 철골 구조물의 미세위치 조정방법",20221207,E04G 21/16,7,15
1020220165964,"적대적 생성 신경망 분석 방법, 적대적 생성 신경망 분석 장치 및 상기 방법을 실행시키기 위하여 기록매체에 저장된 컴퓨터 프로그램",20221201,G06N 3/08,5,10
1020220165115,연료전지 시스템,20221130,H01M 8/04089,3,4
1020220163445,거울 기능을 구비한 영상 표시 유닛,20221129,G09F 19/16,3,2
1020220162054,폐 용적 검사 방법 및 그 장치,20221128,A61B 6/00,14,6
1020220162052,선조립 철골 구조물의 하중 분산형 실내 리프팅 장비 및 이를 이용한 선조립 철골 구조물의 설치방법,20221128,E04G 21/16,2,29
1020220160675,다양한 길이의 펩타이드의 길이를 접힘으로 처리하여 신항원을 예측하는 방법 및 컴퓨터 프로그램,20221125,G16B 40/20,2,10
1020220160728,전력 수직 배향형 모노폴라 수전해 스택,20221125,C25B 9/77,5,14
1020220159562,다층의 열전도 부재를 포함하는 에어로졸 생성 장치 및 에어로졸 생성 장치의 히터 조립체,20221124,A24F 40/465,4,1
1020220159560,질병예측방법 및 그 장치,20221124,G16H 50/50,4,7
