출원번호,old_사무소,old_대리인,old_MainCPC,ES_title,ES_MainCPC,ES_agents
1020010050288,,김성환,,인터넷을 이용한 단체급식 관리시스템,,김성환
1020010048945,,김성환,,무인 급수장치,,김성환
1020010046965,,김성환,,유화제가 함유되지 않은 신발제조용 접착제,,김성환
1020010044526,,김성환,,인스트루먼트 패널의 부분발포부 구조,,김성환
1020010040891,,김성환,,유통업체의 고객관리방법,,김성환
1020010031372,,김성환,,블로워용 3엽 임펠러의 곡면전용 가공기,,김성환
1020010030018,,김성환,,공기청정기의 오염도 측정방법,,김성환
1020010029947,,김성환,,빙축열을 이용한 이동식 스팟쿨러 시스템,,김성환
1020010025202,,김성환,,광고간판용 투시패널,,김성환
1020010018978,,김성환,,신발갑피 내부 보강재 제조방법,,김성환
1020010018856,,김성남,,양방향 통신이 가능한 구매정보 입력장치,,김성남
1020010015388,,김성환,,배출성능을 향상시킨 용융아연도금욕 제조방법,,김성환
1020010012162,,김성환,,입체원단의 직조구조,,김성환
1020010010677,,김성남,,대중 교통수단 이용료의 선불 징수 시스템 및 방법,,김성남
1020010009025,,김성환,,직물지의 전사인쇄 표면처리재,,김성환
1020010010171,,김성환,,자연산 상황버섯 추출물이 함유된 미백화장료,,김성환
1020010005788,,김성환,,베이트 케스팅 릴의 스타드래그 클릭음 발생장치,,김성환
1020010005583,,김성환,,베이트 케스팅 릴의 스풀 제동력 조절장치,,김성환
1020010004912,,김성환,,열간 성형이 용이한 연속기포 경질 폴리우레탄 발포체 및그 발포체를 이용한 자동차 마감재,,김성환
1020010003534,,김성환,,명란김치의 제조방법,,김성환
1020010003461,,김성환,,베이트 케스팅 릴의 플립커버장치,,김성환
1020010002558,,김성환,,원유운반선용 급유관의 급유밸브 록킹장치,,김성환
1020010002552,,김성환,,원유운반선용 급유관의 급유밸브 록킹장치,,김성환
1020010001302,,김성환,,기계식 표면폭기 및 교반장치,,김성환
1020010000390,,김성환,,제철소용 레들카의 제동장치,,김성환
1020000085707,,김성환,,사각깡통의 기밀누설 테스트장치,,김성환
1020000081100,,김성남,,상거래 대금을 인터넷망을 이용하여 전자적으로 결제하는방법,,김성남
1020000079198,,김성환,,낚시용 스피닝 릴의 역회전 방지구,,김성환
1020000078691,,김성남,,2차원 얼굴 정면 이미지를 이용한 3차원 얼굴 모델 생성방법,,김성남
1020000078253,,김성환,,낚시릴의 핸들 절첩장치,,김성환
1020000074274,,김성환,,양식장용 부이,,김성환
1020000073811,,김성환,,가방끈고리,,김성환
1020000072670,,김성환,,바이패스수단을 구비한 밸브,,김성환
1020000071922,,김성환,,무정지 2중화 구내방송 시스템,,김성환
1020000071179,,김성남,,수수료 후불식 직거래 경매방법,,김성남
1020000069851,,김성환,,플랜지 가공용 전조기,,김성환
1020000067407,,김성남,,압력패턴 검출 기능을 포함하는 지문인식장치,,김성남
1020000067215,,김성남,,스마트 카드의 에이티알 인증 및 이를 이용한 전자상거래방법,,김성남
1020000066691,,김성환,,초콜릿이 첨가된 요구르트 및 그 제조방법,,김성환
1020000066330,,김성남,,"인터넷을 이용한 경매 시스템, 이를 이용한 회원 자격판별 방법 및 마감처리 방법",,김성남
1020000065381,,김성남,,전자식 출입문 제어 시스템,,김성남
1020000064895,,김성환,,배수로의 오물수거장치,,김성환
1020000064248,,김성환,,천정용 장식패널,,김성환
1020000063798,,김성환,,다단 배기시스템을 구비한 사축식 압축장치,,김성환
1020000062028,,김성환,,휴대용 무선통신 카드를 이용한 자동차의 도어/시동제어장치 및 그 방법,,김성환
1020000061149,,김성환,,유화제가 첨가되지 않는 점착제 및 그 제조방법,,김성환
1020000060689,,김성환,,다기능 홈 퍼스널 로봇,,김성환
1020000060332,,김성환,,통신탑,,김성환
1020000059989,,김성환,,조선소크레인의 러핑스크류로드 커버,,김성환
1020000058205,,김성환,,유화제가 첨가되지 않는 신발제조용 접착제 및 그 제조방법,,김성환
1020000056446,,김성환,,낚시용 릴의 역회전 방지장치,,김성환
1020000056445,,김성환,,낚시용 릴의 역회전 방지구,,김성환
1020000055160,,김성남,,카드사용에 따른 인센티브를 전화 요금에 적용하는 방법,,김성남
1020000054854,,김성남,,"구내 네트워크를 이용한 키폰 시스템, 이를 이용한 호처리 방법 및 데이터 송신 방법",,김성남
1020000053841,,김성남,,위치정보확인 수신기를 갖춘 차량에 탑승한 승객의 위치정보를 제공하는 방법,,김성남
1020000052647,,김성남,,인터넷을 이용한 도서 정보 제공 방법,,김성남
1020000052646,,김성남,,전자서고 제공 시스템 및 방법,,김성남
1020000051134,,김성환,,스태커용 리프트,,김성환
1020000051095,,김성남,,휴대용 무선 단말기를 이용한 광고 제공 방법,,김성남
1020000049228,,김성환,,솔더볼 보관용기,,김성환
1020000046771,,김성남,,통신망을 이용한 화상경비 시스템,,김성남
1020000046754,,김성남,,전자문서 발급 시스템 및 방법,,김성남
1020000045606,,김성남,,인터넷을 이용한 일정 관리 시스템 및 방법,,김성남
1020000044024,,김성환,,노이즈 및 서지전압 제거장치가 내장된 배전반,,김성환
1020000041888,,김성남,,복수개의 자물쇠틀을 갖는 잠금 장치,,김성남
1020000041887,,김성남,,인터넷을 이용한 데이터베이스 마케팅 시스템 및 방법,,김성남
1020000040849,,김성남,,통신기기를 이용한 원격 건물 관리 시스템 및 그 방법,,김성남
1020000040508,,김성환,,전자파 차폐용 금속박막의 코팅장치,,김성환
1020000040488,,김성환,,방도천 및 그 제조방법,,김성환
1020000037737,,김성남,,인터넷 사용자의 포인트 관리 대행 방법,,김성남
1020000035715,,김성환,,폐기물 탄화 소각장치,,김성환
1020000032675,,김성환,,인터넷을 이용한 실기학습 평가시스템 및 그 평가방법,,김성환
1020000031632,,김성환,,납땜용 솔더볼의 세척장치,,김성환
1020000031630,,김성환,,솔더볼과 같은 구형입자의 분급장치,,김성환
1020000031627,,김성환,,원심분무법에 의한 솔더 페이스트용 분말 제조장치,,김성환
1020000030835,,김성환,,조류 퇴치장치,,김성환
1020000026777,,김성남,,무선단말기용 이미지 제공 시스템 및 방법,,김성남
1020000021215,,김성환,,과초산을 이용한 의료기기 세척제 및 그 제조방법,,김성환
1020000020463,,김성남,,통합형 메시지 송·수신 장치,,김성남
1020000018968,,김성남,,양방향 구매정보 조사 시스템 및 그 방법,,김성남
1020000016955,,김성남,,전자화폐 기능을 부여한 신용카드를 이용한 전자상거래시스템 및 그 방법,,김성남
1020000015673,,김성환,,"자동차용 흡,차음재의 진공발포금형 및 그 금형을 이용한흡,차음재의 제조방법",,김성환
1020000014937,,김성환,,키토산을 함유한 불고기용 주물럭의 제조방법,,김성환
1020000014234,,김성환,,방탄용 군화,,김성환
1020000014233,,김성환,,장총탄 방어용 패널의 제조방법,,김성환
1020000013854,,김성환,,타원운동형 피스톤식 압축장치,,김성환
1020000012420,,김성환,,스피닝 릴의 스풀 왕복기구,,김성환
1020000009773,,김성환,,건설폐기물 처리장치의 소각장치,,김성환
1020000009720,,김성남,,전화번호를 이용한 전자우편 주소 제공 방법,,김성남
1020000009456,,김성환,,수용성수지를 사용한 천연피혁 제조방법,,김성환
1020000007435,,김성환,,낚시용 릴의 금속피막 진공증착방법,,김성환
1020000006269,,김성환,,홀로그래픽 낚시대의 제조방법,,김성환
1020000005475,,김성환,,부직포로 된 케블라 원단이 내장된 낚시대의 제조방법 및그 낚시대,,김성환
1020000003949,,김성환,,컨테이너선의 컨테이너 콘소켓 취부용 지그,,김성환
1020000002307,,김성환,,대두분말을 주원료로 한 유산균이 함유된 대두죽 및 그제조방법,,김성환
