출원번호,발명의 명칭,출원일자,CPC,독립항 수,종속항 수
1020237001028,도금 장치 및 도금 방법,20220331,C25D 21/04,9,13
1020237021986,수소 결합 부위 함유 내유성 화합물,20220331,C08F 20/34,8,6
1020220037800,점착 시트,20220328,C09J 7/38,10,6
1020227038588,반도체 장치용 본딩 와이어,20220323,H01L 23/00,2,11
1020220035785,페라이트 가소체 및 페라이트 소결 자석의 제조 방법,20220323,H01F 1/10,3,15
1020220035258,발광 장치,20220322,H01L 29/786,3,5
1020220033389,"압축기 유닛, 스크루 압축기 및 압축기 유닛의 운전 방법",20220317,F17C 13/00,4,2
1020220032501,에칭 방법,20220316,H01L 21/306,1,8
1020227038585,반도체 장치용 본딩 와이어,20220316,H01L 23/00,2,11
1020220031359,"이온주입장치, 이온주입방법 및 빔계측장치",20220314,H01J 37/317,11,19
1020220031659,표시 장치 및 그 제조 방법,20220314,G02F 1/1368,2,2
1020220031201,"임프린트 장치, 물품 제조 방법, 및 성형 장치",20220314,G03F 7/00,9,16
1020227018886,무시안 전해 금 도금액,20220310,C25D 3/48,3,2
1020227041883,"크실릴렌디이소시아네이트 조성물, 광학 재료용 중합성 조성물, 수지, 성형체, 광학 소자 및 렌즈",20220309,C08G 18/76,6,5
1020220029475,"땜납 합금, 땜납 분말, 땜납 페이스트, 및 땜납 조인트",20220308,B23K 35/26,4,1
1020220028160,임프린트·리소그래피용 각형 기판 및 그의 제조 방법,20220304,B29C 33/38,5,9
1020227034117,폴리카르보네이트의 제조 장치의 조립 방법 및 폴리카르보네이트의 제조 장치,20220228,C08G 64/20,12,5
1020227044408,플렉시블 프린트 기판의 제조 방법,20220224,B05D 1/28,1,12
1020220022987,반도체용 기판 및 그의 제조 방법,20220222,H01L 27/12,1,6
1020220020740,반도체 장치,20220217,H01L 27/12,6,2
1020220020736,반도체 장치,20220217,H01L 27/12,3,0
1020220020538,"적층체의 박리 장치 및 박리 방법, 및 전자 디바이스의 제조 방법",20220217,B32B 43/00,6,3
1020227042552,"도금 장치, 및 도금 방법",20220216,C25D 5/02,5,2
